Family,LowestID,LowestIDNC,SiteCode,Date,Sample,H
Cyclopidae,Apocyclops dengizicus,OJ311201,NWS002,8/05/2018,B,1
Arcellidae,Arcella bathystoma,BP010109,NWS005,10/05/2018,P,1
Arcellidae,Arcella discoides,BP010102,NWS005,10/05/2018,P,1
Arrenuridae,Arrenuridae,MM239999,NWS004,9/05/2018,P,1
Arrenuridae,Arrenurus (Brevicaudaturus) multicornutus,MM230115,NWS005,10/05/2018,B,1
Arrenuridae,Arrenurus (Brevicaudaturus) multicornutus,MM230115,NWS005,10/05/2018,P,1
Arrenuridae,Arrenurus (Micruracarus) sp. 29 = MAN1,MM2301E3,NWS001,8/05/2018,P,1
Arrenuridae,Arrenurus (Micruracarus) sp. 29 = MAN1,MM2301E3,NWS002,8/05/2018,P,1
Arrenuridae,Arrenurus (Micruracarus) sp. 29 = MAN1,MM2301E3,NWS002,8/05/2018,B,1
Arrenuridae,Arrenurus (Micruracarus) sp. 29 = MAN1,MM2301E3,NWS003,9/05/2018,B,1
Arrenuridae,Arrenurus (Micruracarus) sp. 29 = MAN1,MM2301E3,NWS003,9/05/2018,P,1
Arrenuridae,Arrenurus (Micruracarus) sp. 29 = MAN1,MM2301E3,NWS004,9/05/2018,B,1
Arrenuridae,Arrenurus (Micruracarus) sp. 29 = MAN1,MM2301E3,NWS005,10/05/2018,P,1
Arrenuridae,Arrenurus (Micruracarus) sp. 29 = MAN1,MM2301E3,NWS006,10/05/2018,B,1
Assiminaeidae,Assiminaeidae,KG219999,NWS003,9/05/2018,B,1
Assiminaeidae,Assiminaeidae,KG219999,NWS003,9/05/2018,P,1
Assiminaeidae,Assiminaeidae,KG219999,NWS004,9/05/2018,B,1
-,Bdelloidea,JB999999,NWS003,9/05/2018,P,1
-,Bdelloidea,JB999999,NWS004,9/05/2018,P,1
-,Bdelloidea,JB999999,NWS005,10/05/2018,P,1
-,Bdelloidea,JB999999,NWS006,10/05/2018,P,1
Hydrophilidae,Berosus aquilo,QC110405,NWS001,8/05/2018,B,1
Hydrophilidae,Berosus aquilo,QC110405,NWS001,8/05/2018,P,1
Hydrophilidae,Berosus australiae,QC110401,NWS001,8/05/2018,B,1
Hydrophilidae,Berosus australiae,QC110401,NWS002,8/05/2018,B,1
Hydrophilidae,Berosus australiae,QC110401,NWS002,8/05/2018,P,1
Hydrophilidae,Berosus australiae,QC110401,NWS004,9/05/2018,B,1
Hydrophilidae,Berosus australiae,QC110401,NWS006,10/05/2018,P,1
Hydrophilidae,Berosus australiae,QC110401,NWS006,10/05/2018,B,1
Hydrophilidae,Berosus nicholasi,QC110419,NWS001,8/05/2018,P,1
Hydrophilidae,Berosus nicholasi,QC110419,NWS001,8/05/2018,B,1
Hydrophilidae,Berosus pulchellus,QC110422,NWS001,8/05/2018,B,1
Hydrophilidae,Berosus sp.,QC110499,NWS002,8/05/2018,B,1
Hydrophilidae,Berosus sp.,QC110499,NWS003,9/05/2018,B,1
Hydrophilidae,Berosus sp.,QC110499,NWS004,9/05/2018,P,1
Dytiscidae,Bidessini,QC0999A6,NWS001,8/05/2018,B,1
Dytiscidae,Bidessini,QC0999A6,NWS001,8/05/2018,P,1
Brachionidae,Brachionus angularis,JP020201,NWS004,9/05/2018,P,1
Brachionidae,Brachionus angularis,JP020201,NWS005,10/05/2018,P,1
Brachionidae,Brachionus angularis,JP020201,NWS006,10/05/2018,P,1
Brachionidae,Brachionus quadridentatus,JP020220,NWS002,8/05/2018,P,1
Brachionidae,Brachionus quadridentatus,JP020220,NWS003,9/05/2018,P,1
Brachionidae,Brachionus quadridentatus,JP020220,NWS004,9/05/2018,P,1
Brachionidae,Brachionus quadridentatus,JP020220,NWS005,10/05/2018,P,1
Brachionidae,Brachionus quadridentatus minor,JP020232,NWS003,9/05/2018,P,1
Brachionidae,Brachionus quadridentatus minor,JP020232,NWS004,9/05/2018,P,1
Brachionidae,Brachionus quadridentatus minor,JP020232,NWS005,10/05/2018,P,1
Candonidae,Candonidae,OH079999,NWS003,9/05/2018,B,1
Centropyxidae,Centropyxis aculeata,BP020101,NWS005,10/05/2018,P,1
Centropyxidae,Centropyxis cf. aerophila,BP0201B5,NWS005,10/05/2018,P,1
Centropyxidae,Centropyxis ecornis,BP020105,NWS005,10/05/2018,P,1
Centropyxidae,Centropyxis platystoma,BP020106,NWS005,10/05/2018,P,1
Notommatidae,Cephalodella forficula,JP130202,NWS004,9/05/2018,P,1
Notommatidae,Cephalodella forficula,JP130202,NWS006,10/05/2018,P,1
Ceratopogonidae,Ceratopogonidae,QD099999,NWS003,9/05/2018,P,1
Ceratopogonidae,Ceratopogonidae,QD099999,NWS005,10/05/2018,B,1
Ceratopogonidae,Ceratopogonidae sp. KMS1 (?Bezzia),QD0999B2,NWS002,8/05/2018,B,1
Ceratopogonidae,Ceratopogonidae sp. KMS2 (?Monohelea),QD0999B3,NWS001,8/05/2018,B,1
Ceratopogonidae,Ceratopogonidae sp. KMS2 (?Monohelea),QD0999B3,NWS002,8/05/2018,B,1
Ceratopogonidae,Ceratopogonidae sp. KMS8 (?Culicoides),QD0999B9,NWS002,8/05/2018,B,1
Ceratopogonidae,Ceratopogonidae sp. KMS9 (?Nilobezzia),QD0999C0,NWS001,8/05/2018,B,1
Coenagrionidae,Ceriagrion aeruginosum,QO020801,NWS003,9/05/2018,B,1
Coenagrionidae,Ceriagrion aeruginosum,QO020801,NWS003,9/05/2018,P,1
Coenagrionidae,Ceriagrion aeruginosum,QO020801,NWS004,9/05/2018,B,1
Coenagrionidae,Ceriagrion aeruginosum,QO020801,NWS005,10/05/2018,P,1
Coenagrionidae,Ceriagrion aeruginosum,QO020801,NWS005,10/05/2018,B,1
Daphniidae,Ceriodaphnia cornuta,OG040101,NWS002,8/05/2018,P,1
Daphniidae,Ceriodaphnia cornuta,OG040101,NWS003,9/05/2018,P,1
Daphniidae,Ceriodaphnia cornuta,OG040101,NWS004,9/05/2018,P,1
Daphniidae,Ceriodaphnia cornuta,OG040101,NWS005,10/05/2018,P,1
Daphniidae,Ceriodaphnia sp.,OG040199,NWS003,9/05/2018,P,1
Daphniidae,Ceriodaphnia sp.,OG040199,NWS004,9/05/2018,P,1
Daphniidae,Ceriodaphnia sp.,OG040199,NWS005,10/05/2018,P,1
Chaoboridae,Chaoboridae,QD059999,NWS005,10/05/2018,B,1
Chironomidae,Chironomus aff. alternans (V24) (CB),QDAI04A0,NWS002,8/05/2018,B,1
Chironomidae,Chironomus aff. alternans (V24) (CB),QDAI04A0,NWS002,8/05/2018,P,1
Chironomidae,Chironomus aff. alternans (V24) (CB),QDAI04A0,NWS003,9/05/2018,B,1
Chironomidae,Chironomus aff. alternans (V24) (CB),QDAI04A0,NWS003,9/05/2018,P,1
Chironomidae,Chironomus aff. alternans (V24) (CB),QDAI04A0,NWS004,9/05/2018,B,1
Chironomidae,Chironomus aff. alternans (V24) (CB),QDAI04A0,NWS004,9/05/2018,P,1
Chironomidae,Chironomus aff. alternans (V24) (CB),QDAI04A0,NWS005,10/05/2018,B,1
Chironomidae,Chironomus aff. alternans (V24) (CB),QDAI04A0,NWS005,10/05/2018,P,1
Chironomidae,Chironomus aff. alternans (V24) (CB),QDAI04A0,NWS006,10/05/2018,B,1
Chironomidae,Chironomus aff. alternans (V24) (CB),QDAI04A0,NWS006,10/05/2018,P,1
Cyprididae,Chrissia sp.,OH083699,NWS006,10/05/2018,B,1
Chydoridae,Chydorus cf. sphaericus,OG0309A5,NWS001,8/05/2018,B,1
Baetidae,Cloeon sp.,QE020299,NWS001,8/05/2018,P,1
Baetidae,Cloeon sp.,QE020299,NWS001,8/05/2018,B,1
Baetidae,Cloeon sp.,QE020299,NWS002,8/05/2018,P,1
Baetidae,Cloeon sp.,QE020299,NWS002,8/05/2018,B,1
Baetidae,Cloeon sp.,QE020299,NWS003,9/05/2018,P,1
Baetidae,Cloeon sp.,QE020299,NWS003,9/05/2018,B,1
Baetidae,Cloeon sp.,QE020299,NWS004,9/05/2018,P,1
Baetidae,Cloeon sp.,QE020299,NWS004,9/05/2018,B,1
Baetidae,Cloeon sp.,QE020299,NWS005,10/05/2018,P,1
Baetidae,Cloeon sp.,QE020299,NWS005,10/05/2018,B,1
Baetidae,Cloeon sp.,QE020299,NWS006,10/05/2018,B,1
Baetidae,Cloeon sp.,QE020299,NWS006,10/05/2018,P,1
Hydrophilidae,Coelostoma fabricii,QC112001,NWS001,8/05/2018,B,1
Lepadellidae,Colurella adriatica,JP030101,NWS005,10/05/2018,P,1
Libellulidae,Crocothemis nigrifrons,QO170601,NWS004,9/05/2018,B,1
Culicidae,Culex (Culex) annulirostris,QD070709,NWS001,8/05/2018,P,1
Culicidae,Culex (Culex) annulirostris,QD070709,NWS001,8/05/2018,B,1
Culicidae,Culex (Culex) annulirostris,QD070709,NWS002,8/05/2018,P,1
Culicidae,Culex (Culex) annulirostris,QD070709,NWS002,8/05/2018,B,1
Culicidae,Culex (Culex) annulirostris,QD070709,NWS003,9/05/2018,P,1
Culicidae,Culex (Culex) annulirostris,QD070709,NWS003,9/05/2018,B,1
Culicidae,Culex (Culex) annulirostris,QD070709,NWS004,9/05/2018,P,1
Culicidae,Culex (Culex) annulirostris,QD070709,NWS004,9/05/2018,B,1
Culicidae,Culex (Culex) annulirostris,QD070709,NWS005,10/05/2018,P,1
Culicidae,Culex (Culex) annulirostris,QD070709,NWS005,10/05/2018,B,1
Culicidae,Culex (Lophoceraomyia) sp.,QD0707A8,NWS003,9/05/2018,P,1
Culicidae,Culex (Lophoceraomyia) sp.,QD0707A8,NWS005,10/05/2018,B,1
Culicidae,Culex sp.,QD070799,NWS006,10/05/2018,B,1
Ceratopogonidae,Culicoides sp.,QD090899,NWS003,9/05/2018,B,1
Ceratopogonidae,Culicoides sp.,QD090899,NWS004,9/05/2018,B,1
Dytiscidae,Cybister sp.,QC093699,NWS002,8/05/2018,B,1
Dytiscidae,Cybister sp.,QC093699,NWS004,9/05/2018,B,1
Dytiscidae,Cybister sp.,QC093699,NWS006,10/05/2018,B,1
Dytiscidae,Cybister tripunctatus temnenkii,QC093606,NWS005,10/05/2018,B,1
Cyprididae,Cypretta sp.,OH080599,NWS002,8/05/2018,B,1
Cyprididae,Cypretta sp.,OH080599,NWS003,9/05/2018,B,1
Cyprididae,Cypretta sp.,OH080599,NWS004,9/05/2018,B,1
Cyprididae,Cypretta sp.,OH080599,NWS005,10/05/2018,P,1
Cyprididae,Cypretta sp.,OH080599,NWS006,10/05/2018,B,1
Cyprididae,Cypretta sp.,OH080599,NWS006,10/05/2018,P,1
Cyprididae,Cypricercus sp.,OH082199,NWS003,9/05/2018,B,1
Cyprididae,Cyprinotus cingalensis,OH080604,NWS001,8/05/2018,B,1
Cyprididae,Cyprinotus cingalensis,OH080604,NWS001,8/05/2018,P,1
Cyprididae,Cypris sp.,OH082499,NWS006,10/05/2018,P,1
Cyprididae,Cypris sp.,OH082499,NWS006,10/05/2018,B,1
Ceratopogonidae,Dasyheleinae,QD0999A2,NWS001,8/05/2018,P,1
Ceratopogonidae,Dasyheleinae,QD0999A2,NWS001,8/05/2018,B,1
Ceratopogonidae,Dasyheleinae,QD0999A2,NWS003,9/05/2018,B,1
Ceratopogonidae,Dasyheleinae,QD0999A2,NWS003,9/05/2018,P,1
Ceratopogonidae,Dasyheleinae,QD0999A2,NWS005,10/05/2018,B,1
Ceratopogonidae,Dasyheleinae,QD0999A2,NWS006,10/05/2018,B,1
Naididae,Dero furcata,LO050203,NWS001,8/05/2018,B,1
Naididae,Dero furcata,LO050203,NWS003,9/05/2018,B,1
Naididae,Dero furcata,LO050203,NWS004,9/05/2018,B,1
Naididae,Dero furcata,LO050203,NWS006,10/05/2018,B,1
Naididae,Dero furcata,LO050203,NWS006,10/05/2018,P,1
Naididae,Dero nivea,LO050202,NWS005,10/05/2018,B,1
Naididae,Dero nivea,LO050202,NWS005,10/05/2018,P,1
Naididae,Dero pectinata,LO050205,NWS002,8/05/2018,B,1
Naididae,Dero pectinata,LO050205,NWS002,8/05/2018,P,1
Naididae,Dero pectinata,LO050205,NWS003,9/05/2018,B,1
Naididae,Dero pectinata,LO050205,NWS004,9/05/2018,B,1
Naididae,Dero pectinata,LO050205,NWS004,9/05/2018,P,1
Sididae,Diaphanosoma australiensis,OG010101,NWS002,8/05/2018,P,1
Sididae,Diaphanosoma australiensis,OG010101,NWS003,9/05/2018,P,1
Sididae,Diaphanosoma australiensis,OG010101,NWS004,9/05/2018,P,1
Sididae,Diaphanosoma australiensis,OG010101,NWS005,10/05/2018,P,1
Sididae,Diaphanosoma australiensis,OG010101,NWS006,10/05/2018,P,1
Difflugiidae,Difflugia gramen,BP030101,NWS005,10/05/2018,P,1
Libellulidae,Diplacodes bipunctata,QO170701,NWS001,8/05/2018,B,1
Libellulidae,Diplacodes bipunctata,QO170701,NWS001,8/05/2018,P,1
Libellulidae,Diplacodes bipunctata,QO170701,NWS005,10/05/2018,B,1
Libellulidae,Diplacodes bipunctata,QO170701,NWS006,10/05/2018,B,1
Belostomatidae,Diplonychus sp.,QH620299,NWS001,8/05/2018,B,1
Belostomatidae,Diplonychus sp.,QH620299,NWS001,8/05/2018,P,1
Belostomatidae,Diplonychus sp.,QH620299,NWS002,8/05/2018,B,1
Belostomatidae,Diplonychus sp.,QH620299,NWS003,9/05/2018,P,1
Belostomatidae,Diplonychus sp.,QH620299,NWS003,9/05/2018,B,1
Belostomatidae,Diplonychus sp.,QH620299,NWS004,9/05/2018,P,1
Belostomatidae,Diplonychus sp.,QH620299,NWS004,9/05/2018,B,1
Belostomatidae,Diplonychus sp.,QH620299,NWS005,10/05/2018,B,1
Belostomatidae,Diplonychus sp.,QH620299,NWS005,10/05/2018,P,1
Belostomatidae,Diplonychus sp.,QH620299,NWS006,10/05/2018,B,1
Belostomatidae,Diplonychus sp.,QH620299,NWS006,10/05/2018,P,1
Chydoridae,Dunhevedia crassa,OG031201,NWS001,8/05/2018,B,1
Chydoridae,Dunhevedia crassa,OG031201,NWS003,9/05/2018,P,1
Chydoridae,Dunhevedia crassa,OG031201,NWS004,9/05/2018,P,1
Chydoridae,Dunhevedia crassa,OG031201,NWS005,10/05/2018,P,1
Chydoridae,Dunhevedia crassa,OG031201,NWS006,10/05/2018,P,1
Crambidae,Elophila sp. (Kim),QL0199B6,NWS003,9/05/2018,P,1
Crambidae,Elophila sp. (Kim),QL0199B6,NWS004,9/05/2018,P,1
Crambidae,Elophila sp. (Kim),QL0199B6,NWS004,9/05/2018,B,1
Crambidae,Elophila sp. (Kim),QL0199B6,NWS005,10/05/2018,P,1
-,Eniochthoniidae - Acarina KMS4 (Oribatida),MM3999A0,NWS004,9/05/2018,B,1
-,Eniochthoniidae - Acarina KMS4 (Oribatida),MM3999A0,NWS005,10/05/2018,B,1
Hydrophilidae,Enochrus deserticola,QC111105,NWS001,8/05/2018,B,1
Hydrophilidae,Enochrus sp.,QC111199,NWS002,8/05/2018,B,1
Ephydridae,Ephydridae,QD789999,NWS003,9/05/2018,P,1
Ephydridae,Ephydridae,QD789999,NWS004,9/05/2018,B,1
Ephydridae,Ephydridae,QD789999,NWS004,9/05/2018,P,1
Euchlanidae,Euchlanis dilatata,JP060101,NWS003,9/05/2018,P,1
Euchlanidae,Euchlanis dilatata,JP060101,NWS006,10/05/2018,P,1
Eylaidae,Eylais sp.,MM030199,NWS001,8/05/2018,P,1
Eylaidae,Eylais sp.,MM030199,NWS001,8/05/2018,B,1
Eylaidae,Eylais sp.,MM030199,NWS004,9/05/2018,B,1
Gerridae,Gerridae,QH579999,NWS001,8/05/2018,B,1
Gerridae,Gerridae,QH579999,NWS004,9/05/2018,P,1
Gerridae,Gerridae,QH579999,NWS005,10/05/2018,P,1
Gerridae,Gerridae,QH579999,NWS005,10/05/2018,B,1
Gerridae,Gerridae,QH579999,NWS006,10/05/2018,P,1
Gerridae,Gerridae,QH579999,NWS006,10/05/2018,B,1
Planorbidae,Gyraulus sp.,KG070799,NWS001,8/05/2018,B,1
Planorbidae,Gyraulus sp.,KG070799,NWS001,8/05/2018,P,1
Planorbidae,Gyraulus sp.,KG070799,NWS002,8/05/2018,B,1
Planorbidae,Gyraulus sp.,KG070799,NWS002,8/05/2018,P,1
Planorbidae,Gyraulus sp.,KG070799,NWS003,9/05/2018,P,1
Planorbidae,Gyraulus sp.,KG070799,NWS003,9/05/2018,B,1
Planorbidae,Gyraulus sp.,KG070799,NWS004,9/05/2018,B,1
Planorbidae,Gyraulus sp.,KG070799,NWS004,9/05/2018,P,1
Planorbidae,Gyraulus sp.,KG070799,NWS005,10/05/2018,B,1
Planorbidae,Gyraulus sp.,KG070799,NWS005,10/05/2018,P,1
Planorbidae,Gyraulus sp.,KG070799,NWS006,10/05/2018,P,1
Planorbidae,Gyraulus sp.,KG070799,NWS006,10/05/2018,B,1
Hydridae,Hydra sp.,IB010199,NWS002,8/05/2018,P,1
Hydridae,Hydra sp.,IB010199,NWS003,9/05/2018,P,1
Hydridae,Hydra sp.,IB010199,NWS004,9/05/2018,B,1
Hydridae,Hydra sp.,IB010199,NWS004,9/05/2018,P,1
Hydridae,Hydra sp.,IB010199,NWS005,10/05/2018,P,1
Hydridae,Hydra sp.,IB010199,NWS006,10/05/2018,B,1
Hydrachnidae,Hydrachna sp.,MM010199,NWS002,8/05/2018,B,1
Hydrachnidae,Hydrachna sp.,MM010199,NWS004,9/05/2018,B,1
Dytiscidae,Hydroglyphus daemeli,QC090904,NWS006,10/05/2018,B,1
Dytiscidae,Hydroglyphus leai,QC090907,NWS001,8/05/2018,P,1
Dytiscidae,Hydroglyphus leai,QC090907,NWS001,8/05/2018,B,1
Dytiscidae,Hydroglyphus leai,QC090907,NWS002,8/05/2018,B,1
Dytiscidae,Hydroglyphus leai,QC090907,NWS003,9/05/2018,B,1
Dytiscidae,Hydroglyphus leai,QC090907,NWS003,9/05/2018,P,1
Dytiscidae,Hydroglyphus leai,QC090907,NWS004,9/05/2018,B,1
Dytiscidae,Hydroglyphus leai,QC090907,NWS004,9/05/2018,P,1
Dytiscidae,Hydroglyphus leai,QC090907,NWS005,10/05/2018,B,1
Dytiscidae,Hydroglyphus leai,QC090907,NWS005,10/05/2018,P,1
Dytiscidae,Hydroglyphus trifasciatus,QC090906,NWS004,9/05/2018,B,1
Dytiscidae,Hydroglyphus trifasciatus,QC090906,NWS005,10/05/2018,B,1
Dytiscidae,Hydroglyphus trifasciatus,QC090906,NWS006,10/05/2018,P,1
Dytiscidae,Hydroglyphus trifasciatus,QC090906,NWS006,10/05/2018,B,1
Hydrometridae,Hydrometra sp.,QH540199,NWS005,10/05/2018,P,1
Hydrometridae,Hydrometra sp.,QH540199,NWS005,10/05/2018,B,1
Hydrometridae,Hydrometra sp.,QH540199,NWS006,10/05/2018,B,1
Hydrometridae,Hydrometra sp.,QH540199,NWS006,10/05/2018,P,1
Hydrophilidae,Hydrophilidae,QC119999,NWS001,8/05/2018,B,1
Hydrophilidae,Hydrophilus sp.,QC111899,NWS006,10/05/2018,B,1
Hydrophilidae,Hydrophilus sp.,QC111899,NWS006,10/05/2018,P,1
Dytiscidae,Hydrovatus fasciatus,QC090306,NWS003,9/05/2018,B,1
Dytiscidae,Hydrovatus fasciatus,QC090306,NWS004,9/05/2018,B,1
Dytiscidae,Hydrovatus fasciatus,QC090306,NWS004,9/05/2018,P,1
Dytiscidae,Hydrovatus rufoniger politus,QC090309,NWS002,8/05/2018,B,1
Dytiscidae,Hydrovatus rufoniger politus,QC090309,NWS003,9/05/2018,B,1
Dytiscidae,Hyphydrus lyratus,QC090402,NWS002,8/05/2018,B,1
Dytiscidae,Hyphydrus lyratus,QC090402,NWS003,9/05/2018,B,1
Dytiscidae,Hyphydrus lyratus,QC090402,NWS005,10/05/2018,B,1
Coenagrionidae,Ischnura aurora aurora,QO021001,NWS001,8/05/2018,B,1
Coenagrionidae,Ischnura aurora aurora,QO021001,NWS002,8/05/2018,B,1
Coenagrionidae,Ischnura aurora aurora,QO021001,NWS003,9/05/2018,P,1
Coenagrionidae,Ischnura aurora aurora,QO021001,NWS004,9/05/2018,B,1
Coenagrionidae,Ischnura aurora aurora,QO021001,NWS004,9/05/2018,P,1
Coenagrionidae,Ischnura aurora aurora,QO021001,NWS005,10/05/2018,B,1
Coenagrionidae,Ischnura aurora aurora,QO021001,NWS006,10/05/2018,P,1
Coenagrionidae,Ischnura aurora aurora,QO021001,NWS006,10/05/2018,B,1
Coenagrionidae,Ischnura heterosticta heterosticta,QO021002,NWS001,8/05/2018,B,1
Coenagrionidae,Ischnura heterosticta heterosticta,QO021002,NWS002,8/05/2018,B,1
Coenagrionidae,Ischnura heterosticta heterosticta,QO021002,NWS003,9/05/2018,B,1
Coenagrionidae,Ischnura heterosticta heterosticta,QO021002,NWS004,9/05/2018,P,1
Coenagrionidae,Ischnura heterosticta heterosticta,QO021002,NWS004,9/05/2018,B,1
Coenagrionidae,Ischnura sp.,QO021099,NWS001,8/05/2018,P,1
Chydoridae,Karualona karua,OG033201,NWS005,10/05/2018,P,1
Chironomidae,Kiefferulus intertinctus,QDAI0701,NWS002,8/05/2018,B,1
Chironomidae,Kiefferulus intertinctus,QDAI0701,NWS003,9/05/2018,B,1
Chironomidae,Kiefferulus intertinctus,QDAI0701,NWS003,9/05/2018,P,1
Chironomidae,Kiefferulus intertinctus,QDAI0701,NWS004,9/05/2018,B,1
Chironomidae,Kiefferulus intertinctus,QDAI0701,NWS005,10/05/2018,B,1
Chydoridae,Kurzia longirostris,OG031602,NWS005,10/05/2018,P,1
Dytiscidae,Laccophilus clarki,QC090105,NWS002,8/05/2018,B,1
Dytiscidae,Laccophilus clarki,QC090105,NWS003,9/05/2018,B,1
Dytiscidae,Laccophilus clarki,QC090105,NWS004,9/05/2018,B,1
Dytiscidae,Laccophilus clarki,QC090105,NWS006,10/05/2018,B,1
Dytiscidae,Laccophilus sharpi,QC090101,NWS002,8/05/2018,B,1
Dytiscidae,Laccophilus sharpi,QC090101,NWS003,9/05/2018,B,1
Dytiscidae,Laccophilus sharpi,QC090101,NWS004,9/05/2018,B,1
Dytiscidae,Laccophilus sharpi,QC090101,NWS006,10/05/2018,B,1
Sididae,Latonopsis australis,OG010202,NWS005,10/05/2018,P,1
Lecanidae,Lecane bulla,JP090110,NWS002,8/05/2018,P,1
Lecanidae,Lecane bulla,JP090110,NWS003,9/05/2018,P,1
Lecanidae,Lecane bulla,JP090110,NWS004,9/05/2018,P,1
Lecanidae,Lecane bulla,JP090110,NWS005,10/05/2018,P,1
Lecanidae,Lecane bulla,JP090110,NWS006,10/05/2018,P,1
Lecanidae,Lecane clara,JP090111,NWS004,9/05/2018,P,1
Lecanidae,Lecane grandis,JP090127,NWS005,10/05/2018,P,1
Lecanidae,Lecane hamata,JP090129,NWS006,10/05/2018,P,1
Lecanidae,Lecane luna,JP090137,NWS003,9/05/2018,P,1
Lecanidae,Lecane luna,JP090137,NWS005,10/05/2018,P,1
Lecanidae,Lecane plesia,JP090195,NWS001,8/05/2018,B,1
Lecanidae,Lecane sp. A (NWS),JP0901G2,NWS003,9/05/2018,P,1
Lecanidae,Lecane sp. A (NWS),JP0901G2,NWS006,10/05/2018,P,1
Lecanidae,Lecane sp. B (NWS),JP0901G3,NWS006,10/05/2018,P,1
Lecanidae,Lecane ungulata,JP090172,NWS001,8/05/2018,B,1
Lecanidae,Lecane ungulata,JP090172,NWS006,10/05/2018,P,1
Lepadellidae,Lepadella oblonga,JP030223,NWS001,8/05/2018,B,1
Lepadellidae,Lepadella oblonga,JP030223,NWS004,9/05/2018,P,1
Lepadellidae,Lepadella oblonga,JP030223,NWS005,10/05/2018,P,1
Lepadellidae,Lepadella oblonga,JP030223,NWS006,10/05/2018,P,1
Lepadellidae,Lepadella patella,JP030224,NWS006,10/05/2018,P,1
Lepadellidae,Lepadella rhomboides,JP030230,NWS003,9/05/2018,P,1
Lepadellidae,Lepadella rhomboides,JP030230,NWS004,9/05/2018,P,1
Lepadellidae,Lepadella rhomboides,JP030230,NWS006,10/05/2018,P,1
Libellulidae,Libellulidae,QO179999,NWS003,9/05/2018,B,1
Dytiscidae,Limbodessus compactus,QC091001,NWS006,10/05/2018,B,1
Dytiscidae,Limbodessus sp.,QC091099,NWS004,9/05/2018,B,1
Dytiscidae,Limbodessus sp.,QC091099,NWS005,10/05/2018,B,1
Dytiscidae,Limbodessus sp.,QC091099,NWS006,10/05/2018,P,1
Limnichidae,Limnichidae,QC359999,NWS003,9/05/2018,B,1
Gerridae,Limnogonus fossarum gilguy,QH570301,NWS002,8/05/2018,B,1
Gerridae,Limnogonus fossarum gilguy,QH570301,NWS003,9/05/2018,B,1
Gerridae,Limnogonus sp.,QH570399,NWS003,9/05/2018,P,1
Gerridae,Limnogonus sp.,QH570399,NWS004,9/05/2018,B,1
Mytilinidae,Lophocharis oxysternon,JP120202,NWS005,10/05/2018,P,1
Dytiscidae,Megaporus ruficeps,QC092105,NWS005,10/05/2018,B,1
Cyclopidae,Mesocyclops brooksi,OJ310703,NWS001,8/05/2018,B,1
